Nome,Quantidade,Componente
"D3",1,"Verde LED"
"D2",1,"Amarelo LED"
"D1",1,"Vermelho LED"
"R5, R2, R3, R4",4,"1 kΩ Resistor"
"U1",1," Arduino Uno R3"
"DIST1",1," Sensor de distância ultrassônico (quatro pinos)"
"PIEZO1",1," Piezo"
