Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1, D2, D4, D3",4,"Laranja LED"
"R1, R2, R6, R7, R4, R3",6,"1 kΩ Resistor"
"R5",1," Fotorresistor"
"PIEZO1",1," Piezo"
