Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"R1, R2, R3, R6",4,"100 Ω Resistor"
"R4, R5",2,"1 Ω Resistor"
"D1",1,"Vermelho LED"
"D2",1,"Amarelo LED"
"D3",1,"Verde LED"
"D4",1,"Azul LED"
"S1, S2",2," Botão"
