Nome,Quantidade,Componente
"S1",1," Interruptor deslizante"
"K1",1," Relé SPDT"
"P1",1,"12 , 12  Fonte de energia"
"L1",1," Lâmpada"
"Meter1",1,"Tensão Multímetro"
"Meter2",1,"Amperagem Multímetro"
"D1",1," Diodo"
