Nome,Quantidade,Componente
"D1",1,"Vermelho LED"
"D2",1,"Azul LED"
"S1",1," Interruptor deslizante"
"K1",1," Relé SPDT"
"R1, R2",2,"1 kΩ Resistor"
"P1",1,"5 , 5  Fonte de energia"
