Nome,Quantidade,Componente
"L1, L2",2," Lâmpada"
"FUNC1",1,"1 Hz, 12 V, 5 V, Quadrado Gerador de função"
"K1",1," Relé SPDT"
"D1, D2",2," Diodo"
"P1",1,"12 , 5  Fonte de energia"
